index-out,fhr-out,toco-out,tocopeak,eval,eval_detail,sig_qual,corrected,baseline,base_max,floatline,accDec,dec_class,decSum,accSum,osci_print,validFHR,rawDeviation,minDeviation,quantilDev,sinus,osci_class,stv,delay,eval_stv,eval_signalquality,eval_dec,eval_acc,eval_var,eval_baseline
0,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,20.0,-1.0,255.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-127.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
